Definição Synset,ID Synset,Definição Relacionada,ID Relacionada,Relação
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,pasta in flat strips wider than linguine,fettuccine.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,very wide flat strips of pasta,lasagna.n.02,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,pasta in long slender flat strips,linguine.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,pasta in the form of slender tubes,macaroni.n.02,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,large pasta tubes stuffed with chopped meat or mild cheese and baked in tomato sauce,manicotti.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,pasta somewhat resembling little moustaches,mostaccioli.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,a ribbonlike strip of pasta,noodle.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,pasta shaped like pearls of barley; frequently prepared with lamb in Greek cuisine,orzo.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,pasta in short tubes with diagonally cut ends,penne.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,small circular or square cases of dough with savory fillings,ravioli.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,tubular pasta in short ribbed pieces,rigatoni.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,pasta in the form of long strings,spaghetti.n.02,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,thin spaghetti,spaghettini.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,pasta cut in narrow ribbons,tagliatelle.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,small ring-shaped stuffed pasta,tortellini.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,pasta in strings thinner than spaghetti,vermicelli.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,medium-sized tubular pasta in short pieces,ziti.n.01,Hyponyms
any of various insects that deposit their eggs in plants causing galls in which the larvae feed,gallfly.n.03,small air-breathing arthropod,insect.n.01,Hypernyms
a locomotor organ consisting of a row of strong cilia whose bases are fused,ctene.n.01,a fully differentiated structural and functional unit in an animal that is specialized for some particular function,organ.n.01,Hypernyms
type genus of the Ammodytidae,ammodytes.n.01,any of various genus of fish,fish_genus.n.01,Hypernyms
a vertical cylindrical furnace for melting iron for casting,cupola.n.01,"an enclosed chamber in which heat is produced to heat buildings, destroy refuse, smelt or refine ores, etc.",furnace.n.01,Hypernyms
ash,fraxinus.n.01,genus of flowering plants having two cotyledons (embryonic leaves) in the seed which usually appear at germination,dicot_genus.n.01,Hypernyms
a British unit of capacity equal to 9 imperial gallons,firkin.n.01,a unit of measure for capacity officially adopted in the British Imperial System; British units are both dry and wet,british_capacity_unit.n.01,Hypernyms
a B vitamin that prevents beriberi; maintains appetite and growth,vitamin_b1.n.01,originally thought to be a single vitamin but now separated into several B vitamins,b-complex_vitamin.n.01,Hypernyms
pregnancy in which the placenta is implanted in the lower part of the uterus (instead of the upper part); can cause bleeding late in pregnancy; delivery by cesarean section may be necessary,placenta_previa.n.01,the state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus,pregnancy.n.01,Hypernyms
a kind of lorikeet,rainbow_lorikeet.n.01,any of various small lories,lorikeet.n.01,Hypernyms
a sin committed of your own free will (as contrasted with original sin),actual_sin.n.01,an act that is regarded by theologians as a transgression of God's will,sin.n.02,Hypernyms
severe mental deficiency,feeblemindedness.n.01,retardation sufficient to fall outside the normal range of intelligence,abnormality.n.02,Hypernyms
remove the stalk of fruits or berries,tail.v.03,cut the top off,top.v.08,Hypernyms
(usually used in the plural) a cord used to tie an apron at the waist,apron_string.n.01,a line made of twisted fibers or threads,cord.n.01,Hypernyms
a musical instrument that is played by means of a keyboard,keyboard_instrument.n.01,any of various devices or contrivances that can be used to produce musical tones or sounds,musical_instrument.n.01,Hypernyms
a musical instrument that is played by means of a keyboard,keyboard_instrument.n.01,a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player,accordion.n.01,Hyponyms
a musical instrument that is played by means of a keyboard,keyboard_instrument.n.01,a musical instrument consisting of graduated steel plates that are struck by hammers activated by a keyboard,celesta.n.01,Hyponyms
a musical instrument that is played by means of a keyboard,keyboard_instrument.n.01,an early stringed instrument like a piano but with more delicate sound,clavichord.n.01,Hyponyms
a musical instrument that is played by means of a keyboard,keyboard_instrument.n.01,a stringed instrument that has a keyboard,clavier.n.02,Hyponyms
a musical instrument that is played by means of a keyboard,keyboard_instrument.n.01,wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard,organ.n.05,Hyponyms
a musical instrument that is played by means of a keyboard,keyboard_instrument.n.01,a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds,piano.n.01,Hyponyms
a musical instrument that is played by means of a keyboard,keyboard_instrument.n.01,(music) an electronic instrument (usually played with a keyboard) that generates and modifies sounds electronically and can imitate a variety of other musical instruments,synthesizer.n.02,Hyponyms
a theory of evolution holding that evolutionary change in the fossil record came in fits and starts rather than in a steady process of slow change,punctuated_equilibrium.n.01,(biology) a scientific theory of the origin of species of plants and animals,theory_of_evolution.n.01,Hypernyms
adult female chicken,hen.n.01,a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,chicken.n.02,Hypernyms
adult female chicken,hen.n.01,a domestic hen ready to brood,brood_hen.n.01,Hyponyms
adult female chicken,hen.n.01,a hen that has just laid an egg and emits a shrill squawk,cackler.n.01,Hyponyms
adult female chicken,hen.n.01,a hen that lays eggs,layer.n.04,Hyponyms
adult female chicken,hen.n.01,a hen with chicks,mother_hen.n.02,Hyponyms
adult female chicken,hen.n.01,young hen usually less than a year old,pullet.n.02,Hyponyms
"any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)",fiber.n.03,(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals,cell.n.02,Hypernyms
"any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)",fiber.n.03,an elongated contractile cell that forms the muscles of the body,muscle_cell.n.01,Hyponyms
"any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)",fiber.n.03,a threadlike extension of a nerve cell,nerve_fiber.n.01,Hyponyms
fuel that is burning and is used as a means for cooking,fire.n.07,a substance that can be consumed to produce energy,fuel.n.01,Hypernyms
defeat by more skillful maneuvering,outmaneuver.v.01,get the better of,outdo.v.02,Hypernyms
defeat by more skillful maneuvering,outmaneuver.v.01,surpass in generalship,outgeneral.v.01,Hyponyms
aromatic gum resin; similar to myrrh,bdellium.n.01,a mixture of resin and gum,gum_resin.n.01,Hypernyms
commit to memory; learn by heart,memorize.v.01,learn by reading books,study.v.05,Hypernyms
commit to memory; learn by heart,memorize.v.01,be an understudy or alternate for a role,understudy.v.01,Hyponyms
small brilliantly colored tropical marine fishes of coral reefs,damselfish.n.01,any of numerous spiny-finned fishes of the order Perciformes,percoid_fish.n.01,Hypernyms
small brilliantly colored tropical marine fishes of coral reefs,damselfish.n.01,live associated with sea anemones,anemone_fish.n.01,Hyponyms
small brilliantly colored tropical marine fishes of coral reefs,damselfish.n.01,a blue and yellow damselfish of Bermuda and Florida and the West Indies,beaugregory.n.01,Hyponyms
small brilliantly colored tropical marine fishes of coral reefs,damselfish.n.01,large blue-grey black-striped damselfish; nearly worldwide,sergeant_major.n.02,Hyponyms
(during World War II in Britain) someone whose duty was to watch for fires caused by bombs dropped from the air,fire_watcher.n.01,a guard who keeps watch,watchman.n.01,Hypernyms
the cellblock in a prison where those condemned to death await execution,death_house.n.01,a division of a prison (usually consisting of several cells),cellblock.n.01,Hypernyms
the conical mass of erectile tissue that forms the head of the penis,glans_penis.n.01,a small rounded structure; especially that at the end of the penis or clitoris,glans.n.01,Hypernyms
taking a zigzag path on skis,traversal.n.01,traveling across,crossing.n.01,Hypernyms
a boat that is on guard duty (as in a harbor) around a fleet of warships,guard_boat.n.01,a small vessel for travel on water,boat.n.01,Hypernyms
any one of five solids whose faces are congruent regular polygons and whose polyhedral angles are all congruent,regular_polyhedron.n.01,a solid figure bounded by plane polygons or faces,polyhedron.n.01,Hypernyms
any one of five solids whose faces are congruent regular polygons and whose polyhedral angles are all congruent,regular_polyhedron.n.01,a hexahedron with six equal squares as faces,cube.n.01,Hyponyms
any one of five solids whose faces are congruent regular polygons and whose polyhedral angles are all congruent,regular_polyhedron.n.01,a dodecahedron with twelve regular pentagons as faces,regular_dodecahedron.n.01,Hyponyms
any one of five solids whose faces are congruent regular polygons and whose polyhedral angles are all congruent,regular_polyhedron.n.01,an icosahedron with twenty equilateral triangles as faces,regular_icosahedron.n.01,Hyponyms
any one of five solids whose faces are congruent regular polygons and whose polyhedral angles are all congruent,regular_polyhedron.n.01,an octahedron with eight equilateral triangles as faces,regular_octahedron.n.01,Hyponyms
any one of five solids whose faces are congruent regular polygons and whose polyhedral angles are all congruent,regular_polyhedron.n.01,a tetrahedron with four equilateral triangular faces,regular_tetrahedron.n.01,Hyponyms
a small lightweight carriage; drawn by a single horse,buggy.n.01,a vehicle with wheels drawn by one or more horses,carriage.n.02,Hypernyms
common large crayfishes of eastern North America,american_crayfish.n.01,small freshwater decapod crustacean that resembles a lobster,crayfish.n.03,Hypernyms
the act or process of changing the color of something,coloring.n.03,an act that changes the light that something reflects,change_of_color.n.01,Hypernyms
the act or process of changing the color of something,coloring.n.03,the use of dye to change the color of something permanently,dyeing.n.01,Hyponyms
the act or process of changing the color of something,coloring.n.03,the act of dyeing or tinting one's hair,hair_coloring.n.03,Hyponyms
the act or process of changing the color of something,coloring.n.03,the act of adding a tinge of color,tinting.n.01,Hyponyms
cause to pass,pass.v.22,cause to go through a recurring sequence,cycle.v.01,Hyponyms
cause to pass,pass.v.22,cause to be circulated and accepted in a false character or identity,pass_off.v.03,Hyponyms
cause to pass,pass.v.22,cause to move through,pass_through.v.02,Hyponyms
cause to pass,pass.v.22,cause something to pass or lead somewhere,run.v.23,Hyponyms
someone who spins (who twists fibers into threads),spinner.n.01,a person who makes things,maker.n.01,Hypernyms
dance the conga,conga.v.01,move in a pattern; usually to musical accompaniment; do or perform a dance,dance.v.02,Hypernyms
underground surface below which the ground is wholly saturated with water,water_table.n.01,(geology) the geological features of the earth,geological_formation.n.01,Hypernyms
terrestrial tropical ferns having fronds with powdery yellowish or white undersides; sometimes placed in family Polypodiaceae or Adiantaceae,pityrogramma.n.01,genera of ferns and fern allies,fern_genus.n.01,Hypernyms
retardation sufficient to fall outside the normal range of intelligence,abnormality.n.02,lack of normal development of intellectual capacities,retardation.n.04,Hypernyms
retardation sufficient to fall outside the normal range of intelligence,abnormality.n.02,severe mental deficiency,feeblemindedness.n.01,Hyponyms
the radical -NH2,amino.n.01,(chemistry) two or more atoms bound together as a single unit and forming part of a molecule,group.n.02,Hypernyms
the radical -NH2,amino.n.01,an amino derivative of glucose that is a component of many polysaccharides,glucosamine.n.01,Hyponyms
the written evidence of someone's activities,paper_trail.n.01,a written document preserving knowledge of facts or events,written_record.n.01,Hypernyms
a medium for written communication,paper.n.04,a means or instrumentality for storing or communicating information,medium.n.01,Hypernyms
the proprietor of a restaurant,restaurateur.n.01,(law) someone who owns (is legal possessor of) a business,owner.n.01,Hypernyms
someone who is unsuccessful,flop.n.02,a person with a record of failing; someone who loses consistently,failure.n.04,Hypernyms
the aromatic root of the sweet flag used medicinally,calamus.n.02,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground,root.n.01,Hypernyms
anything carved in low relief,anaglyph.n.02,carvings or engravings (especially on precious stones),glyptic_art.n.01,Hypernyms
anything carved in low relief,anaglyph.n.02,engraving or carving in low relief on a stone (as in a brooch or ring),cameo.n.01,Hyponyms
the quantity of tobacco that can be smoked in a pipe at one time,pipeful.n.01,the quantity that a container will hold,containerful.n.01,Hypernyms
decorate with leaves,foliate.v.02,"make more attractive by adding ornament, colour, etc.",decorate.v.01,Hypernyms
maintains a rabbit warren,warrener.n.01,a person employed to take care of game and wildlife,gamekeeper.n.01,Hypernyms
cast rays of light upon,irradiate.v.02,become lighter,lighten.v.05,Hypernyms
the sensory system for vision,visual_system.n.01,the body's system of sense organs,sensory_system.n.02,Hypernyms
the division of a deck of cards before dealing,cut.n.15,the act or process of dividing,division.n.03,Hypernyms
true scorpions,scorpionida.n.01,the order of animals,animal_order.n.01,Hypernyms
an optical instrument used by jewelers; has one or more lenses and is used to view features not readily seen,jeweler's_glass.n.01,an instrument designed to aid vision,optical_instrument.n.01,Hypernyms
make by hand and with much skill,craft.v.01,make out of components (often in an improvising manner),fashion.v.01,Hypernyms
make by hand and with much skill,craft.v.01,"make filigree, as with a precious metal",filigree.v.01,Hyponyms
make by hand and with much skill,craft.v.01,make something by hand,handcraft.v.01,Hyponyms
type genus of the family Arcidae: ark shells and blood clams,arca.n.01,a genus of mollusks,mollusk_genus.n.01,Hypernyms
provide with a coating,enrobe.v.01,put a coat on; cover the surface of; furnish with a surface,coat.v.01,Hypernyms
represent or identify by using a symbol; use symbols,symbolize.v.02,"describe or present, usually with respect to a particular quality",represent.v.12,Hypernyms
a spotted or calico horse or pony,pinto.n.01,solid-hoofed herbivorous quadruped domesticated since prehistoric times,horse.n.01,Hypernyms
a swiveling metal rod attached to a bicycle or motorcycle or other two-wheeled vehicle; the rod lies horizontally when not in use but can be kicked into a vertical position as a support to hold the vehicle upright when it is not being ridden,kickstand.n.01,a long thin implement made of metal or wood,rod.n.01,Hypernyms
a person who is not very intelligent or interested in culture,yokel.n.01,an unsophisticated country person,rustic.n.01,Hypernyms
alpha-beta brass containing tin; resistant to sea water; Admiralty Metal is a trademark,naval_brass.n.01,a brass that has more zinc and is stronger than alpha brass; used in making castings and hot-worked products,alpha-beta_brass.n.01,Hypernyms
the most basic of all crochet stitches made by pulling a loop of yarn through another loop,chain_stitch.n.01,any one of a number of stitches made by pulling a loop of yarn through another loop with a crochet needle,crochet_stitch.n.01,Hypernyms
a cell or organism in which genetic recombination has occurred,recombinant.n.01,(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals,cell.n.02,Hypernyms
a cell or organism in which genetic recombination has occurred,recombinant.n.01,a living thing that has (or can develop) the ability to act or function independently,organism.n.01,Hypernyms
make into fiction,fictionalize.v.01,create anew,re-create.v.01,Hypernyms
increase,hike.v.01,raise from a lower to a higher position,raise.v.02,Hypernyms
(geology) an increase in land resulting from alluvial deposits or waterborne sediment,accretion.n.05,a process of becoming larger or longer or more numerous or more important,increase.n.03,Hypernyms
mild mental retardation,moronity.n.01,lack of normal development of intellectual capacities,retardation.n.04,Hypernyms
someone who supervises (an examination),proctor.n.01,one who supervises or has charge and direction of,supervisor.n.01,Hypernyms
someone who supervises (an examination),proctor.n.01,someone who watches examination candidates to prevent cheating,invigilator.n.01,Hyponyms
a syllabic script used in writing Sanskrit and Hindi,devanagari.n.01,a particular orthography or writing system,script.n.03,Hypernyms
a syllabic script used in writing Sanskrit and Hindi,devanagari.n.01,a writing system whose characters represent syllables,syllabary.n.01,Hypernyms
a fricative sound (especially as an expression of disapproval),hiss.n.01,sound of any kind (especially unintelligible or dissonant sound),noise.n.01,Hypernyms
any developmental defect of the spinal cord,myelatelia.n.01,an imperfection in a bodily system,defect.n.01,Hypernyms
the art of designing and making clocks,horology.n.01,a superior skill that you can learn by study and practice and observation,art.n.03,Hypernyms
a nucleated cell in bone marrow from which red blood cells develop,erythroblast.n.01,a cell of an embryo,embryonic_cell.n.01,Hypernyms
a nucleated cell in bone marrow from which red blood cells develop,erythroblast.n.01,an erythroblast having granules of ferritin,sideroblast.n.01,Hyponyms
"use special care in dressing, making-up, etc.",doll_up.v.01,care for one's external appearance,groom.v.03,Hypernyms
a musical composition written for eight performers,octet.n.05,a musical work that has been created,musical_composition.n.01,Hypernyms
have a tendency or disposition to do or be something; be inclined,tend.v.01,"have the quality of being; (copula, used with an adjective or a predicate noun)",be.v.01,Hypernyms
have a tendency or disposition to do or be something; be inclined,tend.v.01,move toward,gravitate.v.01,Hyponyms
have a tendency or disposition to do or be something; be inclined,tend.v.01,be given to,suffer.v.09,Hyponyms
have a tendency or disposition to do or be something; be inclined,tend.v.01,be willing or inclined to accept,take_kindly_to.v.01,Hyponyms
kangaroo mice,microdipodops.n.01,a genus of mammals,mammal_genus.n.01,Hypernyms
book binding in which the spine and part of the sides are bound in one material and the rest in another,half_binding.n.01,"the protective covering on the front, back, and spine of a book",binding.n.05,Hypernyms
the state resulting when juvenile characteristics are retained by the adults of a species,neotony.n.01,the way something is with respect to its main attributes,state.n.02,Hypernyms
make opaque,opacify.v.01,cause to change; make different; cause a transformation,change.v.01,Hypernyms
a program for restoring someone to good health,rehabilitation_program.n.01,a system of projects or services intended to meet a public need,program.n.02,Hypernyms
a program for restoring someone to good health,rehabilitation_program.n.01,a program of rehabilitation through job training with an eye to gainful employment,vocational_rehabilitation_program.n.01,Hyponyms
the commercial activity of transporting and selling goods from a producer to a consumer,distribution.n.04,transactions (sales and purchases) having the objective of supplying commodities (goods and services),commerce.n.01,Hypernyms
a sharp vibrating sound (as of a plucked string),twang.n.01,the sudden occurrence of an audible event,sound.n.04,Hypernyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a passage (a pipe or tunnel) through which water or electric wires can pass,conduit.n.01,Hypernyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a tube through which a bullet travels when a gun is fired,barrel.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a tube through which darts can be shot by blowing,blowgun.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a tube that directs air or gas into a flame to concentrate heat,blowtube.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a small flexible tube inserted into a body cavity for draining off fluid or introducing medication,cannula.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a tube of small internal diameter; holds liquid by capillary action,capillary.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a thin flexible tube inserted into the body to permit introduction or withdrawal of fluids or to keep the passageway open,catheter.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a tube that holds a cigarette while it is being smoked,cigarette_holder.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,tubing that is wound in a spiral,coil.n.05,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a vertical glass tube used in column chromatography; a mixture is poured in the top and washed through a stationary substance where components of the mixture are adsorbed selectively to form colored bands,column.n.02,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,tube inserted into a body cavity (as during surgery) to remove unwanted material,drain.n.02,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a flexible pipe for conveying a liquid or gas,hose.n.03,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,an inflatable rubber tube that fits inside the casing of a pneumatic tire,inner_tube.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,the tube of a pipe or cigarette holder that a smoker holds in the mouth,mouthpiece.n.05,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a straight narrow tube through which pellets (as dried peas) can be blown at a target,pea_shooter.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a tube with a small bowl at one end; used for smoking tobacco,pipe.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a long tube made of metal or plastic that is used to carry water or oil or gas etc.,pipe.n.02,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,short tube attached to the muzzle of a gun that deadens the sound of firing,silencer.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a tube running from the liquid in a vessel to a lower level outside the vessel so that atmospheric pressure forces the liquid through the tube,siphon.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a tube for conveying the sound of a voice from one room to another,speaking_tube.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,the tube of a tobacco pipe,stem.n.04,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a slender tube inserted inside a tubular body part (as a blood vessel) to provide support during and after surgical anastomosis,stent.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a thin paper or plastic tube used to suck liquids into the mouth,straw.n.04,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,glass tube closed at one end,test_tube.n.01,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a tube near the waterline of a vessel through which a torpedo is fired,torpedo_tube.n.01,Hyponyms
